duration_ms,explicit,genres,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
217051,t,['eletronic' 'hip hop'],28,0.0017,0.771,0.486,0.00901,1.0,0.18,-9.515,1.0,0.159,95.0,4.0,0.0986
187665,t,['eletronic' 'hip hop'],32,0.054,0.747,0.566,0.0014,11.0,0.218,-7.153,0.0,0.172,94.0,4.0,0.489
244974,t,['eletronic' 'hip hop'],51,0.0234,0.722,0.598,1.64e-05,6.0,0.121,-6.755,1.0,0.162,100.0,4.0,0.569
334386,f,['r&b'],56,0.173,0.339,0.804,3.57e-05,5.0,0.262,-8.875,0.0,0.0638,126.0,4.0,0.923
242733,f,['r&b'],31,0.703,0.546,0.413,5.55e-06,8.0,0.0944,-11.345,1.0,0.0325,140.0,3.0,0.385
202480,f,['r&b'],27,0.486,0.627,0.615,2.84e-05,7.0,0.363,-10.601,1.0,0.049,126.0,4.0,0.678
244906,f,['r&b'],26,0.5,0.716,0.837,0.000871,10.0,0.0872,-9.213,0.0,0.0598,97.0,4.0,0.861
233400,f,['r&b'],25,0.543,0.579,0.688,1.24e-05,0.0,0.512,-8.907,1.0,0.0503,118.0,4.0,0.793
262160,f,['r&b'],21,0.0834,0.535,0.604,7.3e-06,1.0,0.112,-10.665,1.0,0.156,118.0,4.0,0.516
200933,f,['r&b'],20,0.746,0.386,0.521,0.00031,4.0,0.256,-10.439,1.0,0.0361,134.0,4.0,0.505
272586,f,['r&b'],15,0.0298,0.587,0.505,2.33e-05,0.0,0.0892,-9.149,1.0,0.0934,118.0,4.0,0.3
378053,f,['r&b'],17,0.395,0.351,0.552,0.0268,9.0,0.0624,-9.229,0.0,0.0393,151.0,4.0,0.453
243093,t,['hip hop'],44,0.00322,0.849,0.492,0.0105,6.0,0.656,-8.659,1.0,0.517,91.0,4.0,0.703
264533,t,['hip hop'],42,0.00999,0.592,0.464,0.000395,1.0,0.0852,-8.422,1.0,0.39,180.0,4.0,0.475
362760,t,['hip hop'],42,0.00237,0.666,0.886,0.0123,11.0,0.12,-7.315,0.0,0.322,92.0,4.0,0.16
338160,t,['hip hop'],40,0.152,0.745,0.563,5.43e-05,11.0,0.132,-6.578,1.0,0.379,92.0,4.0,0.431
